Marker,F,p
PVV4,26.93349685213712,6.346581761358249e-07
CRY2,34.537993150443434,2.378507076836414e-08
HH.335C,22.900661283107382,3.8702305655244706e-06
DF.162L,23.63130625346467,2.7788629466651515e-06
BH.147L,20.561180592226172,1.131086822373961e-05
EC.480C,21.175144229890904,8.521047519775062e-06
g2395,12.563085997197701,0.0005168896505262151
FD.222L,4.26611567145804,0.040502753760509456
CH.65C,4.358305035220249,0.03842355261818231
BF.221L,5.82389313433269,0.01694690417845668
FD.150C,4.144894579734196,0.0434201062893588
Erecta,4.174625822273304,0.042684512796143236
BH.120L,4.477017824477914,0.035911208681427956
DF.140C,5.722931218900508,0.01791191308980694
T2N18,6.465709522306431,0.011952695740726162
T6A23,6.637585873657175,0.010894581479463405
EG.357C,5.75616529006056,0.01758808157445337
F4I1,11.398462179089186,0.0009239595015106394
MSAT2.22,9.641361560750548,0.0022529614681606534
AD.112L,4.499056424834004,0.0354741012506088
nga151,5.653589500411853,0.018607771537171372
DF.231C,5.44437924878188,0.020883576837834247
DF.184L,7.938915605234083,0.005452611321408018
AD.129L,7.29346440257784,0.007680307915727645
BH.96L,4.177855842497653,0.04262649112459003